DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,0,0,0
03/03/2020,0,0,0
03/04/2020,0,0,0
03/05/2020,0,0,0
03/06/2020,1,1,0
03/07/2020,1,0,0
03/08/2020,1,0,0
03/09/2020,3,1,0
03/10/2020,2,4,0
03/11/2020,3,2,0
03/12/2020,13,2,0
03/13/2020,26,3,0
03/14/2020,23,6,0
03/15/2020,47,16,1
03/16/2020,91,16,0
03/17/2020,108,19,0
03/18/2020,150,24,0
03/19/2020,258,28,4
03/20/2020,310,31,3
03/21/2020,248,35,1
03/22/2020,317,29,6
03/23/2020,209,50,8
03/24/2020,350,47,6
03/25/2020,394,52,4
03/26/2020,404,52,10
03/27/2020,371,64,7
03/28/2020,266,53,13
03/29/2020,230,58,17
03/30/2020,398,74,11
03/31/2020,237,69,22
04/01/2020,263,76,16
04/02/2020,369,83,30
04/03/2020,345,66,29
04/04/2020,345,54,20
04/05/2020,323,68,22
04/06/2020,730,82,24
04/07/2020,630,71,28
04/08/2020,562,59,34
04/09/2020,298,54,25
04/10/2020,300,57,19
04/11/2020,312,51,28
04/12/2020,253,46,26
04/13/2020,185,57,25
04/14/2020,290,49,24
04/15/2020,317,37,24
04/16/2020,210,40,14
04/17/2020,280,36,15
04/18/2020,153,26,19
04/19/2020,134,32,19
04/20/2020,224,30,16
04/21/2020,216,26,11
04/22/2020,173,19,14
04/23/2020,128,21,13
04/24/2020,143,32,14
04/25/2020,88,22,9
04/26/2020,46,17,7
04/27/2020,106,20,9
04/28/2020,130,20,8
04/29/2020,124,15,14
04/30/2020,130,14,11
05/01/2020,78,9,8
05/02/2020,61,18,12
05/03/2020,35,12,15
05/04/2020,89,16,8
05/05/2020,79,13,12
05/06/2020,60,16,8
05/07/2020,60,14,4
05/08/2020,42,12,5
05/09/2020,32,7,3
05/10/2020,14,6,8
05/11/2020,27,2,3
05/12/2020,53,11,6
05/13/2020,47,14,6
05/14/2020,42,11,6
05/15/2020,33,7,6
05/16/2020,25,5,2
05/17/2020,10,5,2
